# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  102       3.639571503204e-10       1.064631605598e-13      -3.219321997748e-12       4.444033209056e-16       1.026176442874e-11       1.467452410898e-12      -7.543007443072e-15 
  103       3.680927762550e-10       1.083693309640e-13      -3.306748133782e-12       4.532800958668e-16       1.000292217951e-11       1.437613302697e-12      -7.317734018930e-15 
  104       3.722518109893e-10       1.102499697394e-13      -3.393989608735e-12       4.622561156730e-16       9.751536131137e-12       1.408593067470e-12      -7.123746513520e-15 
  105       3.764339674037e-10       1.121032525119e-13      -3.480976275642e-12       4.713320936083e-16       9.507497423822e-12       1.380379189256e-12      -6.960601834847e-15 
  106       3.806391339233e-10       1.139274642332e-13      -3.567644120156e-12       4.805086262503e-16       9.270845528841e-12       1.352972736483e-12      -6.826160499359e-15 
  107       3.848670902117e-10       1.157208957991e-13      -3.653929028032e-12       4.897863200931e-16       9.041568214532e-12       1.326368396268e-12      -6.717998338023e-15 
  108       3.891175028838e-10       1.174818451700e-13      -3.739766827082e-12       4.991657915615e-16       8.819599768495e-12       1.300554256607e-12      -6.633398776630e-15 
  109       3.933899212175e-10       1.192086184921e-13      -3.825093329130e-12       5.086476670260e-16       8.604819219791e-12       1.275511588564e-12      -6.569345116110e-15 
  110       3.976837728663e-10       1.208995312185e-13      -3.909844371961e-12       5.182325828173e-16       8.397048561143e-12       1.251214628461e-12      -6.522512812844e-15 
  111       4.019983595714e-10       1.225529092304e-13      -3.993955861277e-12       5.279211852408e-16       8.196050971134e-12       1.227630360069e-12      -6.489261758971e-15 
  112       4.063328528737e-10       1.241670899576e-13      -4.077363812650e-12       5.377141305913e-16       8.001529036406e-12       1.204718296795e-12      -6.465628562707e-15 
  113       4.106862898265e-10       1.257404235001e-13      -4.160004393474e-12       5.476120851674e-16       7.813122973863e-12       1.182430263872e-12      -6.447318828648e-15 
  114       4.150575687077e-10       1.272712737487e-13      -4.241813964921e-12       5.576157252867e-16       7.630408852866e-12       1.160710180551e-12      -6.429699438088e-15 
  115       4.194454447316e-10       1.287580195063e-13      -4.322729123893e-12       5.677257372996e-16       7.452896817437e-12       1.139493842289e-12      -6.407790829327e-15 
  116       4.238487005032e-10       1.301990836371e-13      -4.402685196259e-12       5.779428187366e-16       7.280138488846e-12       1.118723630377e-12      -6.377284065695e-15 
  117       4.282666900564e-10       1.315930221384e-13      -4.481611419053e-12       5.882676818748e-16       7.112067788352e-12       1.098395135409e-12      -6.337748829036e-15 
  118       4.326988532168e-10       1.329384480537e-13      -4.559435248578e-12       5.987010506342e-16       6.948698406521e-12       1.078515819718e-12      -6.289802776834e-15 
